driver_id,lap,position,time_ms
max-verstappen,1,1,83044
lewis-hamilton,1,2,84169
daniel-ricciardo,1,3,85456
sebastian-vettel,1,4,86511
valtteri-bottas,1,5,87855
carlos-sainz-jr,1,6,88610
kimi-raikkonen,1,7,89144
nico-hulkenberg,1,8,89609
charles-leclerc,1,9,91389
marcus-ericsson,1,10,93592
sergio-perez,1,11,94212
fernando-alonso,1,12,94715
lance-stroll,1,13,95073
kevin-magnussen,1,14,95478
sergey-sirotkin,1,15,95808
esteban-ocon,1,16,96270
pierre-gasly,1,17,96516
romain-grosjean,1,18,96830
stoffel-vandoorne,1,19,97424
brendon-hartley,1,20,99180
max-verstappen,2,1,80959
lewis-hamilton,2,2,81225
daniel-ricciardo,2,3,81553
sebastian-vettel,2,4,81799
valtteri-bottas,2,5,82541
kimi-raikkonen,2,6,82058
carlos-sainz-jr,2,7,83830
nico-hulkenberg,2,8,83422
charles-leclerc,2,9,83965
marcus-ericsson,2,10,84159
sergio-perez,2,11,84416
fernando-alonso,2,12,85044
lance-stroll,2,13,85715
kevin-magnussen,2,14,86054
sergey-sirotkin,2,15,86893
pierre-gasly,2,16,86566
stoffel-vandoorne,2,17,86274
romain-grosjean,2,18,87651
brendon-hartley,2,19,101496
esteban-ocon,2,20,106839
max-verstappen,3,1,81091
lewis-hamilton,3,2,81620
daniel-ricciardo,3,3,81694
sebastian-vettel,3,4,82420
valtteri-bottas,3,5,82039
kimi-raikkonen,3,6,82306
carlos-sainz-jr,3,7,83398
nico-hulkenberg,3,8,83641
charles-leclerc,3,9,83624
marcus-ericsson,3,10,84123
sergio-perez,3,11,84078
fernando-alonso,3,12,84197
lance-stroll,3,13,84314
kevin-magnussen,3,14,84144
sergey-sirotkin,3,15,84854
pierre-gasly,3,16,84876
stoffel-vandoorne,3,17,84867
romain-grosjean,3,18,84711
brendon-hartley,3,19,83310
esteban-ocon,3,20,82749
max-verstappen,4,1,81162
lewis-hamilton,4,2,81363
daniel-ricciardo,4,3,81369
sebastian-vettel,4,4,81959
valtteri-bottas,4,5,81987
kimi-raikkonen,4,6,82416
carlos-sainz-jr,4,7,82891
nico-hulkenberg,4,8,82839
charles-leclerc,4,9,83359
marcus-ericsson,4,10,83708
sergio-perez,4,11,83975
lance-stroll,4,12,84567
kevin-magnussen,4,13,84985
stoffel-vandoorne,4,14,84427
sergey-sirotkin,4,15,86956
romain-grosjean,4,16,85891
pierre-gasly,4,17,87707
brendon-hartley,4,18,89459
esteban-ocon,4,19,92107
max-verstappen,5,1,98701
lewis-hamilton,5,2,99795
daniel-ricciardo,5,3,99891
sebastian-vettel,5,4,99698
valtteri-bottas,5,5,99911
kimi-raikkonen,5,6,100290
carlos-sainz-jr,5,7,101334
nico-hulkenberg,5,8,101471
charles-leclerc,5,9,101425
marcus-ericsson,5,10,100775
sergio-perez,5,11,100916
lance-stroll,5,12,101542
kevin-magnussen,5,13,102566
stoffel-vandoorne,5,14,102308
